Index,Word,Meaning,Synonyms,Conjugation,Searched,Unnamed: 6,,,,,,
21,abiri,"safiri kwa chombo cha majini kutoka upande mmoja wa mto, ziwa au bahari hadi upande mwingine : Tuliabiri bahari kwa meli. | ingia chombo cha kusafiri kwa mfano basi, meli, mashua na kadhalika",vuka,"abiria, abirika, abirisha",,Edit Word Delete Word Create a Question,,,,,,
22,abiri,toa maelezo ya kitu kwa usahihi na kwa kueleweka vyema | eleza jambo litakalotokea kabla ya kutokea kwake,"tabiri, bashiri","abiria, abirika, abirisha, abiriwa",,Edit Word Delete Word Create a Question,,,,,,
23,abiri,pata fundisho kutokana na jambo fulani,"makinika, tahadhari","abiria, abiriana, abirisha",,Edit Word Delete Word Create a Question,,,,,,
24,abiria,"mtu anayetoka mahali fulani na kwenda pengine kwa kutumia chombo kwa mfano basi, treni na kadhalika na ambaye si mfanyakazi wa chombo hicho",,,,Edit Word Delete Word Create a Question,,,,,,
25,abjadi,orodha ya herufi za lugha fulani : Abjadi za Kiswahili,"alfabeti, abtathi",,,Edit Word Delete Word Create a Question,,,,,,
26,abra,fursa ya kufanya jambo,"nafasi, muda",,,Edit Word Delete Word Create a Question,,,,,,
27,abtadi,alika kitu au shughuli : Ninaabtadi safari yangu kwa kumwomba Mola, Bismillahi n''abtadi -> ninaanza kwa jina la Mwenyezi Mungu,,,,Edit Word Delete Word Create a Question,,,,,
28,abtali,wapiganaji,"mashujaa wa vitani, nguli",,,Edit Word Delete Word Create a Question,,,,,,
29,abtathi,alfabeti,,,,Edit Word Delete Word Create a Question,,,,,,
30,abu,mzazi wa kiume,baba,,,Edit Word Delete Word Create a Question,,,,,,
31,abudu,omba Mungu kufuatana na imani fulani,,"abudia, abudisha, abudiwa",,Edit Word Delete Word Create a Question,,,,,,
32,abudu,penda kitu au mtu sana,husudu,"abudia, abudiana, abudisha, abudiwa",,Edit Word Delete Word Create a Question,,,,,,
33,abudu,mtoto wa bandia,mwanasesere,,,Edit Word Delete Word Create a Question,,,,,,
34,abunusi,mti ulio na kiini cheusi kikubwa na kigumu kinachotumika kuchongea vinyago au kutengeneza samani,mpingo,,,Edit Word Delete Word Create a Question,,,,,,
35,abunuwasi,"mhusika mkuu ambaye ni mjanja sana katika hekaya za kale kwa mfano katika ""Hekaya za Abunuwasi'",,,,Edit Word Delete Word Create a Question,,,,,,
36,aburani,ahadi,,,,Edit Word Delete Word Create a Question,,,,,,
37,abuwabu,fremu zenye mifuriko zilizopachikwa kwenye sehemu wazi katika jengo na zilizotengwa kwa ajili ya kuingilia au kutokea,milango,,,Edit Word Delete Word Create a Question,,,,,,
38,abwe!,tamko la kushangaa kwa namna ya kudharau,ebo!,,,Edit Word Delete Word Create a Question,,,,,,
39,abyadhi,karata isiyokuwa na alama yoyote inayotumika katika mchezo wa dhumna,,,,Edit Word Delete Word Create a Question,,,,,,
40,abyadhi,enye rangi nyeupe,-eupe,,,Edit Word Delete Word Create a Question,,,,,,
41,acha,sita kufanya jambo: Juma ameacha shule. | telekeza: aliwaacha watoto wake nyumbani bila ya chakula. | toa maelekezo kuhusu jambo la kufanywa na mtu mwingine wakati unapoondoka mahali: Nilipokwenda kwake sikumkuta lakini niliacha ujumbe. | bakiza kitu : Mg,"saza, taliki, koma","achana, achika, achisha, achwa",,Edit Word Delete Word Create a Question,,,,,,
42,acha!,neno linalotumiwa kuonyesha mshangao : Acha wee! Ni kweli usemayo?,,,,Edit Word Delete Word Create a Question,,,,,,
43,achama,weka kinywa wazi mithili ya mtu apigaye miayo,,"achamia, achamisha",,Edit Word Delete Word Create a Question,,,,,,
44,achana,tengana na mtu aghalabu mke na mume: Maganga na mkewe wameachana. | kuwa mbalimbali kwa vitu vilivyokuwa vimeshikana,,"achania, achanisha",,Edit Word Delete Word Create a Question,,,,,,
45,achari,mchanganyiko wa matunda pamoja na chumvi na pilipili ambao hutumiwa kukipa chakula ladha,,,,Edit Word Delete Word Create a Question,,,,,,
46,ache!,neno la kumtakia mtu heri wakati wa sherehe : Ache wana!,,,,Edit Word Delete Word Create a Question,,,,,,
47,achia,"samehe deni au haki yako, toa hatiani: Mahakama imewaachia huru wafanyabiashara.",,"achiana, achilia, achiwa",,Edit Word Delete Word Create a Question,,,,,,
48,achika,"pewa talaka, talikiwa : Baluli ameachika baada ya kugombana na mumewe kwa sababu ya ulevi.",,,,Edit Word Delete Word Create a Question,,,,,,
49,achisha,simamisha shughuli au tendo fulani lisiendelee: Mkurugenzi amemwachisha kazi karani mkuu.,,,,Edit Word Delete Word Create a Question,,,,,,
50,ada,"gharama au karo anayolipa mtu ili apatiwe huduma fulani kwa mfano katika elimu, burudani au kupata uanachama katika chama | mila au desturi za jamii fulani: Kila kabila lina ada zake za maziko. | kawaida katika kufanya jambo: Kunywa chai kila jioni ni ada",,,,Edit Word Delete Word Create a Question,,,,,,
51,adaa,"ulazima unaompasa mtu kuutenda kwa mujibu wa kanuni za dini kwa mfano kuswali, kufunga na kutoa zaka",,,,Edit Word Delete Word Create a Question,,,,,,
52,adabu,tabia nzuri: Yeye hana adabu.,heshima,,,Edit Word Delete Word Create a Question,,,,,,
53,Adamu,mtu wa kwanza kuumbwa na Mungu,,,,Edit Word Delete Word Create a Question,,,,,,
54,adana,ala mojawapo inayotumiwa katika kupigia muziki,,,,Edit Word Delete Word Create a Question,,,,,,
55,adapta,kitu kinachodhibiti umeme unaoingia kwenye kitu kingine kinachotumia umeme,kirekebu,,,Edit Word Delete Word Create a Question,,,,,,
56,adeade,udhoofu wa mwili,,,,Edit Word Delete Word Create a Question,,,,,,
57,adesi,nafaka ya jamii ya kunde yenye rangi ya manjano,dengu,,,Edit Word Delete Word Create a Question,,,,,,
58,adha,jambo linaloleta usumbufu,"kero, taabu, udhia",,,Edit Word Delete Word Create a Question,,,,,,
59,adhabu,mateso anayopewa mtu kama njia ya kumrudi kwa kosa alilofanya,,,,Edit Word Delete Word Create a Question,,,,,,
60,adhama,jambo la heshima kubwa : Ilikuwa ni adhama kutembelewa na Rais.,"utukufu, hadhi",,,Edit Word Delete Word Create a Question,,,,,,
61,adhana,"mwito wa swala kwa Waislamu : Waislamu wote waliposikia adhana, walikwenda msikitini kuswali.",,,,Edit Word Delete Word Create a Question,,,,,,
62,adharusi,mapambano makubwa baina ya pande mbili zikitumia silaha,vita,,,Edit Word Delete Word Create a Question,,,,,,
63,adhibu,-pa mtu adhabu | tesa,,"adhibia, adhibiana, adhibika, adhibisha, adhibiwa",,Edit Word Delete Word Create a Question,,,,,,
64,adhifari,harufu mbaya ya mwili,"kikwapa, gugumo",,,Edit Word Delete Word Create a Question,,,,,,
65,adhimisha,sherehekea tukio muhimu lililopita kwa mfano maadhimisho ya nchi kupata uhuru,,"adhimishia, adhimishika, adhimishwa",,Edit Word Delete Word Create a Question,,,,,,
66,adhimisho,kumbukumbu,,,,Edit Word Delete Word Create a Question,,,,,,
67,adhimu,iliyo na sifa na heshima kubwa : Alipewa makaribisho adhimu alipofika kijijini kwetu. | iliyo kwa wingi : Mkwasi yule ana pesa adhimu.,tukufu,,,Edit Word Delete Word Create a Question,,,,,,
68,adhini,ita waumini wa Kiislamu kwenye swala msikitini,,"adhinia, adhinisha",,Edit Word Delete Word Create a Question,,,,,,
69,adhinia,toa adhana hata kama si wakati wa swala,,"adhinika, adhinishwa, adhiniwa",,Edit Word Delete Word Create a Question,,,,,,
70,adhiri,"aibisha mtu aghalabu mbele ya watu, vunjia mtu heshima",,"adhiria, adhiriana, adhirika, adhirisha, adhiriwa",,Edit Word Delete Word Create a Question,,,,,,
71,adhirika,"fikwa na tukio la kuaibisha fedheheka, aibika","fedheheka, aibika",,,Edit Word Delete Word Create a Question,,,,,,
72,adhuhuri,"muda kati ya saa sita mchana na saa tisa mchana: Katika nchi za joto, jua huwa kali sana wakati wa adhuhuri. | swala wanayosali Waislamu wakati wa mchana",,,,Edit Word Delete Word Create a Question,,,,,,
73,adi,sindikiza mtu kwa lengo la kumuaga,aga,"adia, adika, adisha, adiwa",,Edit Word Delete Word Create a Question,,,,,,
74,adia,kitu au fedha anazopewa mtu kumpongeza kwa jambo alilofanya au kuonyesha upendo kwake,"hidaya, zawadi",,,Edit Word Delete Word Create a Question,,,,,,
75,adibu,"elimisha mtu tabia njema, tia mtu adabu",,"adibia, adibika, adibisha, adibiwa",,Edit Word Delete Word Create a Question,,,,,,
76,adibu,"-enye adabu, -enye tabia nzuri, -wa na adabu",,,,Edit Word Delete Word Create a Question,,,,,,
77,adidi,"tafuta idadi ya vitu | fanya iwe tayari, fanya maandalizi","hesabu, tayarisha","adidia, adidiana, adidika, adidisha, adidiwa",,Edit Word Delete Word Create a Question,,,,,,
78,adili,"tenda haki, kutopendelea pendelea",,"adilia, adilika, adilisha",,Edit Word Delete Word Create a Question,,,,,,
79,adili,"-enye kutenda haki, -siopendelea",,,,Edit Word Delete Word Create a Question,,,,,,
80,adilifu,mwenye mwenendo wa kutenda haki bila upendeleo,,,,Edit Word Delete Word Create a Question,,,,,,
81,adimika,kuwa haba : Sukumawiki imeadimika kwa sababu ya ukame.,,,,Edit Word Delete Word Create a Question,,,,,,
82,adimisha,"sababisha kupatikana kwa shida, fanya kuwa shida kupatikana : Ukame umeadimisha mahindi.",,,,Edit Word Delete Word Create a Question,,,,,,
83,adimu,-enye kupatikana kwa shida,,,,Edit Word Delete Word Create a Question,,,,,,
84,adinasi,"mtoto wa mtu | mtoto anayetoka kwenye ukoo mwema, mtoto mwenye tabia njema","mwanadamu, binadamu",,,Edit Word Delete Word Create a Question,,,,,,
85,admeri,mkuu wa jeshi la wanamaji,,,,Edit Word Delete Word Create a Question,,,,,,
86,adrenali,moja kati ya jozi ya glandi mwilini iliyo juu ya figo inayotoa adrenalini,,,,Edit Word Delete Word Create a Question,,,,,,
87,adrenalini,kemikali ya mwilini ambayo huufanya moyo kwenda kasi na kumpa mtu nguvu zaidi anaposhtuka,,,,Edit Word Delete Word Create a Question,,,,,,
88,adua,"fanyia sadaka mizimu, tolea mizimu kafara | husudu | omba dua dhidi ya kijicho",,,,Edit Word Delete Word Create a Question,,,,,,
89,adui,"mtu aliye dhidi yako, kitu kibaya unachopambana nacho kwa mfano magonjwa, njaa, chuki, wivu, ujinga na kadhalika | mshindani",hasimu,,,Edit Word Delete Word Create a Question,,,,,,
90,advansi,malipo ya awali,"chambele, karadha, kishauzu, rubuni, arbuni",,,Edit Word Delete Word Create a Question,,,,,,
91,afa,mtu anayefanya matendo mabaya kwa wengine,,,,Edit Word Delete Word Create a Question,,,,,,
92,afadhali,-zuri zaidi : Shati alilovaa leo ni afadhali kuliko alilovaa jana.,bora,,,Edit Word Delete Word Create a Question,,,,,,
93,afanalek!,neno la kuonyesha mshangao,,,,Edit Word Delete Word Create a Question,,,,,,
94,afande,mtu anayefira wanaume wenzake,"mfiraji, basha",,,Edit Word Delete Word Create a Question,,,,,,
95,afande!,jina la heshima analoitwa askari wa cheo cha juu na mdogo wake | namna ya kuitikia ambayo askari wa cheo cha chini huitikia anapoitwa na mkubwa wake,,,,Edit Word Delete Word Create a Question,,,,,,
96,afazia,maradhi yanayomfanya mtu kusahau baadhi ya maneno kwa sababu ya ubongo kuathirika,,,,Edit Word Delete Word Create a Question,,,,,,
97,afiki,kubaliana na hoja zilizotolewa | kuwa katika hali ya kufaa au kupendeza,,"afikia, afikiana, afikika, afikisha, afikiwa",,Edit Word Delete Word Create a Question,,,,,,
98,afikiana,fikia mapatano na mtu kuhusu kitu au jambo,,,,Edit Word Delete Word Create a Question,,,,,,
99,afikisha,"tenga maneno kwa alama k.m kituo, kikomo na kadhalika",,"akifisha, akifishika, akifishwa",,Edit Word Delete Word Create a Question,,,,,,
100,afisa,"mtu mwenye madaraka katika ofisi | mtu mwenye cheo katika jeshi ; afisa kadeti, afisa wa polisi, afisa wa magereza",,,,Edit Word Delete Word Create a Question,,,,,,
101,afkani,ugonjwa wa moyo,,,,Edit Word Delete Word Create a Question,,,,,,
102,afkani,mwehu,"punguani, zuzu",,,Edit Word Delete Word Create a Question,,,,,,
103,Afrika,"moja ya mabara saba ya dunia ambalo limezungukwa na Bahari ya Hindi, Bahari ya Atlantiki, Bahari ya Mediterani na Bahari ya Sham",,,,Edit Word Delete Word Create a Question,,,,,,
104,afrikanaizesheni,"utaratibu wa kukabidhi madaraka kwa Waafrika, Wazungu walipoondoka baada ya uhuru",,,,Edit Word Delete Word Create a Question,,,,,,
105,afriti,jini aletaye madhara kwa watu | mtu anayeshawishi wenzake wafanye uhalifu au mambo maovu | mtu mjanjamjanja asiyeaminika,,,,Edit Word Delete Word Create a Question,,,,,,
106,afu,omba maghufira kutoka kwa Mungu | linda,kinga,"afia, afika, afisha",,Edit Word Delete Word Create a Question,,,,,,
107,afu,ua dogo jeupe linalonukia vizuri,asumini mwitu,,,Edit Word Delete Word Create a Question,,,,,,
108,afu,msamaha wa dhambi anaopewa mtu na Mungu | uponaji | wokovu | ulinzi,ghofira,,,Edit Word Delete Word Create a Question,,,,,,
109,afua,"hali ya kupona au kuwa na afya nzuri, hali ya kuwa na uzima wa afya",,,,Edit Word Delete Word Create a Question,,,,,,
110,afueni,"tendo la kupungua kwa maradhi, hali ya kupata hujambo : Baada ya kuugua kwa muda, Atiamuga alipata afueni.",,,,Edit Word Delete Word Create a Question,,,,,,
111,afwaji,mkusanyiko wa watu kadhaa | kikundi cha askari wakiwa na silaha zao,kikundi,,,Edit Word Delete Word Create a Question,,,,,,
112,afya,"hali ya uzima, hali ya kuwa na siha : Afya ya Mwende imeimarika kwa sababu ya mazoezi.",,,,Edit Word Delete Word Create a Question,,,,,,
113,afya,hutumiwa na watoto wanaposhauriana kufanya jambo : Afya! Tucheze mpira.,,,,Edit Word Delete Word Create a Question,,,,,,
114,afya!,"neno la kumwombea mtu uzima anapoenda chafya, neno la kutakiana uzima wakati wa burudani ya kunywa ulevi : Tunywe kwa afya zetu!",,,,Edit Word Delete Word Create a Question,,,,,,
115,afyuni,dawa ya kulevya inayotengenezwa kwa uteute au nta ya maua,kasumba,,,Edit Word Delete Word Create a Question,,,,,,
116,aga,"ambia mtu kwaheri, sema buriani",,"agana, agia, agika, agisha, agwa",,Edit Word Delete Word Create a Question,,,,,,
117,agaa,anguka au ponyoka kutoka mkononi | miminika,tawanyika,"agalia, agalika, agalisha",,Edit Word Delete Word Create a Question,,,,,,
118,agana,afikiana na mtu kufanya jambo | takiana heri na mtu mnapoachana,,,,Edit Word Delete Word Create a Question,,,,,,
119,agano,mapatano,"ahadi, makubaliano",,,Edit Word Delete Word Create a Question,,,,,,
120,Agano Jipya,sehemu ya pili inayomhusu Kristo katika Maandiko ya Biblia,,,,Edit Word Delete Word Create a Question,,,,,,
121,Agano la Kale,sehemu ya kwanza katika Maandiko ya Biblia,,,,Edit Word Delete Word Create a Question,,,,,,
122,aghalabu,"kwa kawaida : Watu wanaofanya mazoezi, aghalabu huwa na afya njema.",mara nyingi,,,Edit Word Delete Word Create a Question,,,,,,
123,agia,"faa au kubalika kwa jambo, hoja au fikra : Mpango ule haukuniagia. | pendezesha mtu au kitu : Nguo hii imekuagia.",,"agika, agilia, agisha",,Edit Word Delete Word Create a Question,,,,,,
124,agiza,"elekeza mtu kufanya jambo fulani | taka uletewe kitu kutoka mahali pengine, taka uwekewe kwa ajili ya kufanya ununuzi | amuru, amrisha",,"agizia, agiziana, agizika, agizisha, agiziwa, agizwa",,Edit Word Delete Word Create a Question,,,,,,
125,agizo,amri anayopewa mtu ili atekeleze jambo fulani,,,,Edit Word Delete Word Create a Question,,,,,,
126,ago,sehemu anayokaa mtu kwa muda tu kwa nia ya kupumzika : Baba amempakata mtoto agoni kwa mara ya kwanza leo. | kirago au makazi ya muda ya mtu,dago,,,Edit Word Delete Word Create a Question,,,,,,
127,ago,sehemu ya mwili iliyo baina ya goti na kiuno,"paja, koro",,,Edit Word Delete Word Create a Question,,,,,,
128,Agosti,mwezi wa nane katika kalenda ya mwaka,,,,Edit Word Delete Word Create a Question,,,,,,
129,agronomia,sayansi ya usimamizi wa udongo na uzalishaji wa mazao shambani,,,,Edit Word Delete Word Create a Question,,,,,,
130,agua,"weza kujua yatakayotokea baadaye : Samweli anaweza kuagua mustakabali wako kwa kukitazama kitanga cha mkono wako. | elezea maana ya ndoto, tukio au ishara iliyojitokeza, tafsiri ndoto | tibu | punga shetani","bashiri, tabiri","agulia, agulika, aguliwa",,Edit Word Delete Word Create a Question,,,,,,
131,aguzi,utabiri wa yatakayotokea baadaye : Mara nyingi aguzi lake huwa ni la kweli.,ubashiri,,,Edit Word Delete Word Create a Question,,,,,,
132,AH,"AlHijra, siku ambayo Mtume Muhammad (S.A.W.) alihama Makka na kukimbilia Madina, mwanzo wa tarehe ya Kiislamu",,,,Edit Word Delete Word Create a Question,,,,,,
133,ah!,"sauti ya kuashiria kulalamika, sauti ya kuashiria maumivu: Ah! : Baridi imezidi leo ->",,,,Edit Word Delete Word Create a Question,,,,,,
134,ahaa!,neno linalotumika kuonyesha mshangao : Ahaa! Kumbe muda wote ule ulikuwa ukinidanganya!,"kumbe!, hivyo!, alaa!, aha!",,,Edit Word Delete Word Create a Question,,,,,,
135,ahadharu,kijani,,,,Edit Word Delete Word Create a Question,,,,,,
136,ahadi,agano la kutimiza kitu au jambo fulani : Maimuna alimwambia ndugu yake asitoe ahadi kama hawezi kuitimiza.,,,,Edit Word Delete Word Create a Question,,,,,,
137,ahadi,mauti,kifo,,,Edit Word Delete Word Create a Question,,,,,,
138,ahali,mwanamke aliyeolewa | ndugu na jamaa,"mke, ukoo",,,Edit Word Delete Word Create a Question,,,,,,
139,ahamaru,-ekundu,,,,Edit Word Delete Word Create a Question,,,,,,
140,ahasi,-liye mbaya kuliko : Yeye ni mbaya lakini kaka yake ni ahasi.,,,,Edit Word Delete Word Create a Question,,,,,,
141,ahera,kule ambako inaaminika binadamu wataishi baada ya kufufuliwa,,,,Edit Word Delete Word Create a Question,,,,,,
142,aheri,mwisho,,,,Edit Word Delete Word Create a Question,,,,,,
143,aheri,bei ya mwisho : Nini aheri yako? | mlo wa mwisho katika mchezo wa karata : Tulipofika aheri ya mchezo nilizikumba karata zote mezani.,,,,Edit Word Delete Word Create a Question,,,,,,
144,ahidi,toa ahadi : Makumbi aliahidi kusaidia ujenzi wa shule ya kijiji.,,"ahidia, ahidiana, ahidika, ahidisha, ahidiwa",,Edit Word Delete Word Create a Question,,,,,,
145,ahiri,toa ahadi: Makumbi aliahidi kusaidia ujenzi wa shule ya kijiji.,,"ahidia, ahidiana, ahidika, ahidisha, ahidiwa",,Edit Word Delete Word Create a Question,,,,,,
146,ahirika,chelewa kufanyika kama ilivyopangwa : Safari imeahirika kwa sababu meli imeharibika.,,,,Edit Word Delete Word Create a Question,,,,,,
147,ahirisha,amua kufanya wakati mwingine : Tuliahirisha mkutano kwa sababu idadi ya wajumbe ilikuwa ndogo.,"ahiri, kawiza, chelewesha","ahirishia, ahirishiana, ahirishika, ahirishwa",,Edit Word Delete Word Create a Question,,,,,,
148,ahsante!,tamko analotoa mtu wakati wa kushukuru,,,,Edit Word Delete Word Create a Question,,,,,,
149,ahueni,nafuu,afueni,,,Edit Word Delete Word Create a Question,,,,,,
150,aibika,pata aibu,fedheheka,"aibikia, aibisha, aibishana, aibishia, aibishika, aibishwa",,Edit Word Delete Word Create a Question,,,,,,
151,aibisha,tenda vitu vya kutahayarisha,"fedhehesha, dharaulisha","aibishika, aibishwa, aibishana",,Edit Word Delete Word Create a Question,,,,,,
152,aibu,"jambo la kumtia mtu fedheha, jambo la kumvunjia mtu heshima","tahayuri, soni",,,Edit Word Delete Word Create a Question,,,,,,
153,aidha,zaidi ya hayo,"vilevile, isitoshe",,,Edit Word Delete Word Create a Question,,,,,,
154,aidini,kemikali inayotumiwa kutibu vidonda,,,,Edit Word Delete Word Create a Question,,,,,,
155,aila,familia,"ndugu, ahali",,,Edit Word Delete Word Create a Question,,,,,,
156,aili,-pa mtu lawama | fungulia au tolea mtu mashtaka,"laumu, shtaki","ailia, ailiana, ailika, ailisha, ailiwa",,Edit Word Delete Word Create a Question,,,,,,
157,aili,tamko la kumlaumu au kumshtaki mtu,"shtaka, lawama",,,Edit Word Delete Word Create a Question,,,,,,
158,aimi!,tamko la kujionea huruma : Aimi! Nafa njaa jamani.,,,,Edit Word Delete Word Create a Question,,,,,,
159,aina,"jinsi kitu kilivyo : Viatu vyangu ni vya aina ya ngozi, vyako je?, Ali na Asha wamevaa nguo za rangi ya aina moja.",,,,Edit Word Delete Word Create a Question,,,,,,
160,aini,"eleza jinsi kitu kilivyo, fafanua sifa za kitu",,"ainia, ainika, ainisha, ainiwa",,Edit Word Delete Word Create a Question,,,,,,
161,ainisha,"weka katika makundi mbalimbali | gawa tena, gawa mara nyingi | chambua | panga | taja",changanua,,,Edit Word Delete Word Create a Question,,,,,,
162,airisi,"kiwambo kidogo chenye misuli yenye rangi, kinachozunguka na kudhibiti ukubwa wa mboni ya jicho",,,,Edit Word Delete Word Create a Question,,,,,,
163,aisee!,namna ya kumwita mtu ili akusikilize,,,,Edit Word Delete Word Create a Question,,,,,,
164,aisikirimu,"mchanganyiko wa maziwa na sukari uliogandishwa kwa ubaridi | mchanganyiko mtamu wa kwa mfano sukari, maji, matunda na maziwa uliogandamizwa katika barafu na unaoliwa aghalabu ukiwa umeganda",,,,Edit Word Delete Word Create a Question,,,,,,
165,ajaa,"tendo, tukio, kitu au hali ya kustaajabisha",,"ajabiana, ajabika, ajabisha, ajabiwa",,Edit Word Delete Word Create a Question,,,,,,
166,ajabia,ona ajabu : Hili si jambo la kuajabia.,shangaa,"ajabiana, ajabika, ajabisha, ajabiwa",,Edit Word Delete Word Create a Question,,,,,,
167,ajabu,"kitu kisicho cha kawaida, cha kushangaza na kustaajabisha",,,,Edit Word Delete Word Create a Question,,,,,,
168,ajabu,"-a kigeni, si -a kawaida, -a pekee, -a kioja : Kasuku ni ndege mwenye sauti ya ajabu. | isiyoaminika ; -a kimiujiza : Ni ajabu mtoto kuzaliwa na meno yote.",,,,Edit Word Delete Word Create a Question,,,,,,
169,ajabu,"kupita kawaida : Mwezi wa Desemba, jua huwa kali ajabu katika Jiji la Mombasa.",,,,Edit Word Delete Word Create a Question,,,,,,
170,ajali,Tukio linalodhuru lililotokea kwa bahati mbaya | mkosi,,,,Edit Word Delete Word Create a Question,,,,,,
171,ajari,kazi inayofanywa baada ya saa rasmi za kazi au siku isiyo ya kazi na ambayo malipo yake hulipwa kando ya mshahara,,,,Edit Word Delete Word Create a Question,,,,,,
172,ajemi,aina ya mkate unaofanana na chapati unaookwa kwenye tanuri la mkaa,,,,Edit Word Delete Word Create a Question,,,,,,
173,Ajemi,nchi ya Irani,Uajemi,,,Edit Word Delete Word Create a Question,,,,,,
174,ajenda,mambo ya kuzungumzwa kwenye mkutano | mpango : Una ajenda ya siri.,,,,Edit Word Delete Word Create a Question,,,,,,
175,ajenti,mtu au asasi inayofanya biashara au inayotoa huduma kwa niaba ya mtu au kampuni nyingine,wakala,,,Edit Word Delete Word Create a Question,,,,,,
176,ajibu,-a kupendeza,barabara,,,Edit Word Delete Word Create a Question,,,,,,
177,ajibu,ndivyo hasa,"barabara, sawasawa",,,Edit Word Delete Word Create a Question,,,,,,
178,ajihi,endea mtu aishiye mbali nawe kwa nia ya kumtembelea | kutana ana kwa ana,,"ajihiana, ajihika, ajihisha, ajihiwa",,Edit Word Delete Word Create a Question,,,,,,
179,ajila,utendaji wa jambo bila kukawia | umuhimu,haraka,,,Edit Word Delete Word Create a Question,,,,,,
180,ajilani,"bila kukawia, mara moja, hivi sasa",filihali,,,Edit Word Delete Word Create a Question,,,,,,
181,ajili,tenda jambo kwa haraka,"harakisha, angusa","ajilia, ajilika, ajilisha",,Edit Word Delete Word Create a Question,,,,,,
182,ajili,madhumuni : Chakula hiki ni kwa ajili ya msaada kwa wenye shida ya ukame.,"nia, sababu",,,Edit Word Delete Word Create a Question,,,,,,
183,ajinabi,mwananchi wa nchi ya kigeni | mtu ambaye siye ndugu yako,mgeni,,,Edit Word Delete Word Create a Question,,,,,,
184,ajinabia,"-enye asili ya kigeni, iliyo geni",,,,Edit Word Delete Word Create a Question,,,,,,
185,ajira,kazi ya kulipwa mshahara,,,,Edit Word Delete Word Create a Question,,,,,,
187,ajiri,-pa mtu kazi ya kumlipa mshahara,,"ajirika, ajirisha, ajiriwa",,Edit Word Delete Word Create a Question,,,,,,
188,ajizi,kuwa mvivu,zembea,"ajizika, ajizisha",,Edit Word Delete Word Create a Question,,,,,,
189,ajizi,ulegevu,"uvivu, uzito, uzembe",,,Edit Word Delete Word Create a Question,,,,,,
190,ajizi,-vivu,"-legevu, -zito, -zembe",,,Edit Word Delete Word Create a Question,,,,,,
191,ajmaina,"kwa kila mtu, kwa wote",,,,Edit Word Delete Word Create a Question,,,,,,
